Course Code;Course name;Type;Link Download
COMP6708;ObjectOrientedProgramming;TM2;https://drive.google.com/file/d/1k_GREMnFqVQHPsf_T9V3dZVqWUoFik1s/view?usp=sharing
COMP6708;ObjectOrientedProgramming;UAP;https://drive.google.com/file/d/1zGsVNOGYIrV3eZAzrJd57wwfZ7VdJlBT/view?usp=sharing
COMP6710;DistributedCloudComputing;TM1;https://drive.google.com/file/d/1UmOtr_SB5ketJyM2wUD6UYeiBNt-9KVD/view?usp=sharing
COMP6710;DistributedCloudComputing;UAP;https://drive.google.com/file/d/1I28rZhL1jcM3c2Y29ZQNWaoI2QcDeii4/view?usp=sharing
COMP6714;IntroductiontoProgramming;TM1;https://drive.google.com/file/d/1YLyLWULUZukmfVmC5afL7V72V-pasD55/view?usp=sharing
COMP6714;IntroductiontoProgramming;UAP;https://drive.google.com/file/d/1ME6jwdehh94NnX8THLFLdYpWw_OCEtGU/view?usp=sharing
COMP6799;DatabaseTechonology;TM1;https://drive.google.com/file/d/1rY4u72rwnliZZYRHxN9V6YkIFr74_ODV/view?usp=sharing
COMP6799;DatabaseTechonology;UAP;https://drive.google.com/file/d/10HaYZuKpcCTtusailobF3DCBbW376gfE/view?usp=sharing
COMP6800;HumanandComputerInteraction;PRY;https://drive.google.com/file/d/1eXX3kmHc63rf5zlWLrih0bc0Xl2dU_bX/view?usp=sharing
COMP6822;SpeechRecognition;TM1;https://drive.google.com/file/d/1j8r2faqK_Q3t8tFIK4MGdecD-MLojKU4/view?usp=sharing
COMP6822;SpeechRecognition;UAP;https://drive.google.com/file/d/1fC3yUxviIeru__J4VM1eKGHohiKeIhwP/view?usp=sharing
COMP6824;ComputerSecurity;TM1;https://drive.google.com/file/d/188aTMJzb9sAHuvKNSduZxsQLxOBriLXf/view?usp=sharing
COMP6824;ComputerSecurity;TM2;https://drive.google.com/file/d/1DZGI_J9foj1lFtalllhn051SEPVdd4B6/view?usp=sharing
COMP6826;DeepLearning;TM1;https://drive.google.com/file/d/1Bh-qTm0zRO6E23XMG4OSM2J8RJbpzczv/view?usp=sharing
COMP6826;DeepLearning;UAP;https://drive.google.com/file/d/1roynmo8SZB124oYjXBk5ZOrPfUsGuacl/view?usp=sharing
COMP6827;LinuxSystemAdministrationandSecurity;TM1;https://drive.google.com/file/d/1qBn6nIMryvsuwOdE9z5iJt3lkE8tszda/view?usp=sharing
COMP6827;LinuxSystemAdministrationandSecurity;TM2;https://drive.google.com/file/d/1450DBw5kQmL4n4RdELkxVTM13SrqmM2X/view?usp=sharing
COMP6829;SoftwareDesign;TM1;https://drive.google.com/file/d/1efrgNv9o4FwiPHgjiZEdTOF6HhWjhcHu/view?usp=sharing
COMP6829;SoftwareDesign;UAP;https://drive.google.com/file/d/1dS57UohDH6cP8HcRfdmsXc_dvN5eIKZH/view?usp=sharing
COMP6841;DatabaseDesign;TM1;https://drive.google.com/file/d/1qzvHUS5bR_EMvq7QUh_UIq89bcBWMPfX/view?usp=sharing
COMP6841;DatabaseDesign;UAP;https://drive.google.com/file/d/1vxy12eCmZ2VRrpm8xFnyoHJMt8rNkXC8/view?usp=sharing
COMP6844;MobilePenetrationTesting;TM1;https://drive.google.com/file/d/1Zjc7xn96VoeZqNi4_Ttzzbd5zTPuSWAV/view?usp=sharing
COMP6844;MobilePenetrationTesting;TM2;https://drive.google.com/file/d/1hUO0RR7E5dbhkHjHYZzAmGIR6b7JUewu/view?usp=sharing
COMP6883;AutomationTesting;TM1;https://drive.google.com/file/d/1WjMhuqpEptiLObfbNV-fTFAP41cUFFSR/view?usp=sharing
COMP6883;AutomationTesting;UAP;https://drive.google.com/file/d/1G3Dtds1BF4T06jAoo3GcRaFOy2EqkaGJ/view?usp=sharing
COMP6885;NaturalLanguageProcessing;TM1;https://drive.google.com/file/d/1Dq_qqQForjyQph7icPwtHKKPPKbH2-W1/view?usp=sharing
COMP6885;NaturalLanguageProcessing;UAP;https://drive.google.com/file/d/10GtKhbc77pT33YXToIxZ83meZL9LKC4K/view?usp=sharing
COMP6888;BasicProgrammingforBiotechnology;TM1;https://drive.google.com/file/d/1LwHtGc0BcEwq0ldtXsqWQ94a1j2JB1TW/view?usp=sharing
COMP6888;BasicProgrammingforBiotechnology;UAP;https://drive.google.com/file/d/1giAfUM8HM51r55RYoLKe0A8gRA4vmUVM/view?usp=sharing
COMP7066;ExpertSystems;PRY;https://drive.google.com/file/d/1RnS3qdf25_g9T_qHm9yZD-cczxfLTBm9/view?usp=sharing
COMP7066;ExpertSystems;TM1;https://drive.google.com/file/d/1yKuvjTbGsf182HHt7rDdTZTvCmBnjY_x/view?usp=sharing
COMP7084;MultimediaSystem;PRY;https://drive.google.com/file/d/13r2drHxZJIv9DBGTyFkx8SG5phJP1of2/view?usp=sharing
COMP7084;MultimediaSystem;UAP;https://drive.google.com/file/d/11mRwRmSdLHB-A4pa_zQ7SURIjut8ITcM/view?usp=sharing
COMP7094;MultimediaProgrammingFoundation;PRY;https://drive.google.com/file/d/1EkyNwxiuaxLUVH9L5BjMrPHOVFHWcGy4/view?usp=sharing
COMP7094;MultimediaProgrammingFoundation;TM1;https://drive.google.com/file/d/1-ybwK2niifuT5aTHgEcORuFXCfCLvPTO/view?usp=sharing
COMP7116;ComputerVision;PRY;https://drive.google.com/file/d/1-biZIsQfuvZ6lJN7J2AfHq6ZxOclqR7O/view?usp=sharing
